pid,category,name,base_price,price,unit_price,arrival,rating,reward,url
7251493809,food,"하이뮨 프로틴 밸런스 음료, 190ml, 24개","23,810","21,330",(10ml당 47원),내일(화) 도착 보장,(49470),"최대 1,066원 적립",coupang_img\7251493809.jpg
7811527978,food,"카무트 골드 카무트 효소 30p, 90g, 3개","105,000","62,100",(1정당 690원),모레(수) 도착 예정,(9336),"최대 3,105원 적립",coupang_img\7811527978.jpg
5351399,food,"청정원 포도씨유, 900ml, 1개","43,740","25,730","(100ml당 2,859원)",모레(수) 도착 예정,(21804),"최대 1,286원 적립",coupang_img\5351399.jpg
6939017056,food,"펩시 콜라, 210ml, 30개","14,250","13,820",(100ml당 219원),내일(화) 도착 보장,(98753),최대 691원 적립,coupang_img\6939017056.jpg
7430883987,food,"모가농협 씻어나온 임금님표 이천쌀 특등급 알찬미, 10kg, 1개","57,000","39,990",(100g당 400원),내일(화) 도착 보장,(70685),"최대 1,950원 적립",coupang_img\7430883987.jpg
7816353820,food,"조혜정의 멸치연구소 볶음용 멸치 (냉동), 500g, 1개","12,590","10,900",(10g당 218원),내일(화) 새벽 도착 보장,(385),최대 545원 적립,coupang_img\7816353820.jpg
6436856710,food,"남양 맛있는 우유 GT, 200ml, 24개","20,900","14,980",(100ml당 312원),내일(화) 도착 보장,(58116),최대 749원 적립,coupang_img\6436856710.jpg
7278225518,food,"카누 미니 다크 로스트 아메리카노, 1.6g, 60개입, 1개","58,070","34,160","(10g당 3,558원)",모레(수) 도착 예정,(96037),"최대 1,708원 적립",coupang_img\7278225518.jpg
166996432,food,"곰곰 소중한 우리쌀 2023년(햅쌀), 20kg(상등급), 1개","82,900","54,390",(100g당 272원),내일(화) 도착 보장,(443313),"최대 2,670원 적립",coupang_img\166996432.jpg
6495143697,food,"제스프리 썬골드키위, 1kg, 2개","24,050","20,770","(100g당 1,039원)",내일(화) 새벽 도착 보장,(27443),"최대 1,039원 적립",coupang_img\6495143697.jpg
4946937434,food,"동서 오레오 화이트 샌드위치 쿠키, 1kg, 1개","17,080","10,750",(10g당 108원),내일(화) 도착 보장,(38548),최대 538원 적립,coupang_img\4946937434.jpg
6101896267,food,"곰곰 달콤한 스테비아 대추방울토마토, 1kg, 1팩","14,500","11,440","(100g당 1,144원)",내일(화) 새벽 도착 보장,(112041),최대 505원 적립,coupang_img\6101896267.jpg
1650278,food,"롯데칠성 게토레이 레몬 600ml (20펫), 20개","20,300","19,400",(100ml당 162원),내일(화) 도착 보장,(69191),최대 970원 적립,coupang_img\1650278.jpg
267135360,food,"지도표성경 보성녹차식탁김, 5g, 40개","18,930","16,900",(10g당 845원),내일(화) 도착 보장,(79108),최대 845원 적립,coupang_img\267135360.jpg
7769897202,food,"아이클리어 루테인지아잔틴, 30정, 15g, 3박스","50,700","17,480",(1정당 194원),내일(화) 도착 보장,(127216),최대 874원 적립,coupang_img\7769897202.jpg
5071892418,food,"펩시 콜라 제로슈가 라임향, 355ml, 24개","15,480","14,870",(100ml당 175원),내일(화) 도착 보장,(189362),최대 744원 적립,coupang_img\5071892418.jpg
9691546,food,"싱하 소다워터 탄산수, 325ml, 24개","21,000","18,700",(100ml당 240원),내일(화) 도착 보장,(15359),최대 935원 적립,coupang_img\9691546.jpg
1489897547,food,"포미 토마토 소스, 500g, 3개","30,380","17,870","(100g당 1,191원)",모레(수) 도착 예정,(1008),최대 894원 적립,coupang_img\1489897547.jpg
7823822359,food,"팔도 비락식혜, 3개, 1.5L","34,560","25,600",(100ml당 569원),5/30(목) 도착 예정,(1126),"최대 1,280원 적립",coupang_img\7823822359.jpg
6113396742,food,"자연다움 우리쌀로 만든 끓여먹는 솥뚜껑 누룽지, 1kg, 1개","10,000","7,980",(100g당 798원),내일(화) 새벽 도착 보장,(18980),최대 399원 적립,coupang_img\6113396742.jpg
6203519911,food,"농협 대왕님표 여주쌀 추청, 10kg(특등급), 1개","51,000","37,060",(100g당 371원),내일(화) 도착 보장,(38623),"최대 1,853원 적립",coupang_img\6203519911.jpg
7694925663,food,"창녕군농협 황금 메뚜기쌀 백미, 20kg, 1개","79,500","54,500",(100g당 273원),내일(화) 도착 보장,(225332),"최대 2,725원 적립",coupang_img\7694925663.jpg
1553274762,food,"이롬 황성주 박사의 국산콩 두유 검은콩 고칼슘, 190ml, 20개","48,000","11,360",(100ml당 299원),내일(화) 새벽 도착 보장,(15503),최대 568원 적립,coupang_img\1553274762.jpg
6696946320,food,"곰곰 노르웨이 간고등어살, 1kg, 1개","16,190","12,990","(100g당 1,299원)",내일(화) 새벽 도착 보장,(86221),최대 650원 적립,coupang_img\6696946320.jpg
156688977,food,"다향오리 1등급 훈제 오리 슬라이스, 600g, 1개","13,720","11,880","(100g당 1,980원)",내일(화) 새벽 도착 보장,(156434),최대 594원 적립,coupang_img\156688977.jpg
4744789493,food,"스윗토 스테비아 대추방울토마토, 1.2kg, 1팩","20,900","13,730","(100g당 1,144원)",내일(화) 새벽 도착 보장,(184946),최대 686원 적립,coupang_img\4744789493.jpg
